feature,gain,split,gain_pct
sol_elev,918643382420.0,301,44.454821693537305
GHI_weighted,421724517196.0,270,20.40801531313913
GHI,194016057464.0,69,9.388789388026002
day_hour_cos,106804363940.0,167,5.168457146598824
daylight_length_hr,92764947240.0,1631,4.4890642744315645
day_of_year,42734642056.0,767,2.0680069427290095
utc_time_day_fraction,32552532402.0,156,1.5752761640668846
day_of_year_sin,29389785764.0,711,1.422225110148942
day_of_year_cos,25008906594.0,528,1.2102264106642249
Clear_sky_GHI,24315713776.0,6,1.1766815512409172
day_hour_sin,13685745258.0,46,0.6622780687592292
date_fraction_of_year,12856608292.0,197,0.6221546251156777
ghi_clear_ratio_weighted,12462105078.0,148,0.6030638981028755
ghi_clear_ratio_weighted_lag1h,9511679368.0,111,0.46028743950306594
ghi_clear_ratio_weighted_lag2h,9429684084.0,25,0.4563195387924239
Cloud_coverage_weighted,8954151012.0,91,0.4333076297865034
Clear_sky_GHI_weighted_roll6h,8491425540.0,62,0.41091550380544106
daytime_frac,8032927804.0,24,0.3887279656477321
month,7070014042.0,175,0.3421308198835095
Clear_sky_GHI_weighted,6388537100.0,21,0.30915291297793696
Clear_sky_GHI_weighted_lag24h,4335802820.0,24,0.20981737304162382
Clear_sky_GHI_weighted_lag3h,4092182268.0,34,0.19802813207249914
Cloud_coverage,3381050960.0,38,0.16361519653863327
ghi_clear_ratio_weighted_roll6h,3337174106.0,82,0.16149191588547596
GHI_weighted_lag24h,2740072422.0,44,0.13259708095485756
month_sin,2729462376.0,77,0.13208364155920468
GHI_x_cloud_coverage_lag1h,2446206804.0,40,0.1183763899881006
GHI_lag24h,2413653308.0,10,0.11680106719377643
Snow_probability_weighted_roll6h,2413450220.0,107,0.11679123939661284
ghi_clear_ratio_weighted_lag24h,2218052000.0,72,0.10733556465321913
GHI_x_cloud_coverage_roll6h,2130600534.0,68,0.10310362938620925
month_cos,2048381656.0,47,0.09912490855582108
Cloud_optical_depth_weighted_roll6h,1971678700.0,50,0.09541311320889909
GHI_weighted_roll6h,1641666492.0,47,0.07944322310346622
Cloud_coverage_weighted_lag1h,1631167916.0,20,0.0789351779435625
