feature,gain,split,gain_pct
solar_flux_Wm2,253776947540.0,311,60.16600488868991
utc_time_day_fraction,23998170034.0,85,5.689539690588619
day_hour_cos,22782853252.0,86,5.401409676590426
daylight_length_hr,20792256582.0,1027,4.929474577127728
solar_flux_Wm2_rolling3h,19058110472.0,194,4.518339348560455
humidity,9677037840.0,196,2.294253720179636
sunrise_day_fraction_utc,7952015720.0,378,1.885281627516809
day_of_year,7833795216.0,243,1.8572536466834189
day_of_year_sin,7185495290.0,544,1.7035532538969334
clouds_all_rolling3h,6590288740.0,227,1.5624403571416607
sunset_day_fraction_utc,6196820366.0,401,1.469155997222021
clouds_all,4018712048.0,128,0.9527652179207272
day_of_year_cos,3606042232.0,191,0.8549285372941021
wx_clear,2646178470.0,129,0.6273618951826644
pressure_rolling3h,2553935380.0,254,0.6054926976149337
humidity_rolling3h,2057875360.0,162,0.4878856813838818
pressure,1879572570.0,193,0.4456132581445087
severity,1419868554.0,111,0.33662560445052264
month,1337079174.0,115,0.31699771354042927
day_of_week,1326378640.0,147,0.3144608070672591
wind_deg_rolling3h,1205196540.0,124,0.28573068444699035
wind_deg,1065198680.0,113,0.25253967946873684
rain_1h_rolling3h,1059843240.0,76,0.25126999980577097
temp_min,992148510.0,70,0.23522078219321943
date_fraction_of_year,938508302.0,38,0.22250364201148698
wind_speed,921985540.0,83,0.2185863887349262
temp_max,841643020.0,92,0.1995386048524766
month_sin,800350260.0,60,0.18974882518923153
wind_speed_rolling3h,766374910.0,89,0.1816938734136265
wx_clouds,753632430.0,73,0.17867285782727899
day_hour_sin,697813570.0,33,0.16543919796890375
temp_max_rolling3h,635005830.0,73,0.15054859884822538
day_of_week_sin,634391540.0,71,0.1504029616045697
temp,565119170.0,61,0.13397971358116836
temp_min_rolling3h,509190390.0,65,0.12071999364396611
day_of_week_cos,484199150.0,49,0.11479501471034007
temp_rolling3h,419056940.0,38,0.09935095423395537
month_cos,406459420.0,30,0.09636430608780766
season,403453390.0,16,0.09565162978907867
rain_1h,242933810.0,22,0.05759528965011392
is_weekend,198130190.0,20,0.04697314746548496
wx_rain,175308120.0,14,0.04156244019478775
rain_3h_rolling3h,151055240.0,19,0.03581251329721242
rain_3h,107585390.0,14,0.025506584279769335
is_holiday,71304850.0,12,0.016905112916180444
wx_fog,30664760.0,5,0.007270069712615249
wx_dust,12769990.0,2,0.003027537718521182
snow_3h_rolling3h,10118080.0,3,0.0023988169794193106
wx_thunderstorm,3075990.0,1,0.0007292625716068666
wx_drizzle,2629130.0,1,0.0006233200058806307
wx_haze,0.0,0,0.0
wx_mist,0.0,0,0.0
snow_3h,0.0,0,0.0
wx_smoke,0.0,0,0.0
wx_snow,0.0,0,0.0
wx_squall,0.0,0,0.0
