feature,gain,split,gain_pct
sol_elev,220832096712.0,152,52.58640803649284
GHI_weighted,82819543950.0,149,19.72169080670732
daylight_length_hr,21382019162.0,935,5.0916673845806075
GHI,12408814696.0,33,2.954891986123257
day_of_year,11488271662.0,536,2.7356844872051678
day_of_year_sin,6863568050.0,564,1.6344109186910716
day_of_year_cos,5906827550.0,406,1.4065837727864055
utc_time_day_fraction,5288378258.0,57,1.2593133926957523
date_fraction_of_year,4186607754.0,136,0.9969504746753847
day_hour_sin,2551665318.0,13,0.6076241433323482
GHI_weighted_lag24h,2546469302.0,41,0.6063868240223002
day_hour_cos,2520980070.0,48,0.6003171123524567
Cloud_coverage_weighted,2489895756.0,80,0.5929150523988701
month,2166862140.0,155,0.5159915535352347
daytime_frac,1918862840.0,12,0.45693586110311224
ghi_clear_ratio_weighted,1666809250.0,84,0.396914726819861
Clear_sky_GHI_weighted,1364003766.0,33,0.32480812196305703
ghi_clear_ratio_weighted_lag2h,1345315228.0,29,0.32035784911093995
Clear_sky_GHI_weighted_lag24h,1134069590.0,17,0.2700542497646697
GHI_x_cloud_coverage_roll6h,992699580.0,77,0.236390026399176
Clear_sky_GHI_weighted_roll6h,967291730.0,40,0.2303396941000062
day_of_week_sin,952437240.0,71,0.22680241720980515
ghi_clear_ratio_weighted_lag24h,944443600.0,88,0.22489890399322304
Cloud_coverage_weighted_lag24h,903565310.0,76,0.21516461957632707
Clear_sky_GHI_weighted_lag3h,897687314.0,23,0.21376490141626273
ghi_clear_ratio_weighted_roll6h,881029774.0,67,0.2097982669986826
Snow_probability_weighted_roll6h,825497520.0,81,0.1965744566399981
GHI_weighted_roll6h,790633300.0,29,0.18827229347580426
Cloud_coverage_weighted_roll6h,732750140.0,59,0.17448866548185699
GHI_x_optical_depth_lag24h,724749440.0,67,0.1725834710783176
Cloud_optical_depth_weighted_roll6h,702006910.0,65,0.16716782733735414
Snow_probability_weighted,682466090.0,43,0.16251460188151023
day_of_week,671911590.0,93,0.1600012750060923
GHI_x_optical_depth,617343562.0,34,0.14700707430393126
Cloud_type,603517440.0,56,0.14371468110620447
ghi_clear_ratio_weighted_lag1h,578110470.0,46,0.13766455836008318
month_sin,574067590.0,38,0.13670183355473098
ghi_clear_ratio_weighted_roll3h,572246710.0,59,0.1362682301968352
Cloud_coverage,533072196.0,23,0.1269396633421631
Cloud_optical_depth_weighted_lag24h,528243090.0,50,0.12578971574691541
Cloud_type_roll6h,523495010.0,40,0.12465906274860811
Cloud_optical_depth_weighted,496990880.0,39,0.11834767497670313
GHI_x_cloud_coverage,488985340.0,35,0.11644132803139702
Cloud_coverage_weighted_lag1h,467217164.0,18,0.11125770571204245
GHI_weighted_lag3h,463995862.0,16,0.11049062201405226
GHI_x_cloud_coverage_roll3h,426511690.0,24,0.10156457370381598
Clear_sky_GHI_weighted_lag2h,413494480.0,11,0.09846480547832362
GHI_x_cloud_coverage_lag1h,385674610.0,24,0.09184010256092977
GHI_weighted_lag1h,380021040.0,34,0.09049382661957238
Cloud_type_lag24h,359861880.0,36,0.08569335680917393
GHI_x_optical_depth_roll6h,334544590.0,44,0.07966458942372225
GHI_x_cloud_coverage_lag2h,324443664.0,13,0.07725927142832617
GHI_x_cloud_coverage_lag24h,323138280.0,35,0.07694842234121256
GHI_x_optical_depth_roll3h,317387530.0,28,0.07557900507570403
day_of_week_cos,317014650.0,44,0.07549021173397247
Cloud_optical_depth_roll6h,311973550.0,23,0.07428978233308475
GHI_x_optical_depth_lag3h,306426736.0,23,0.0729689280340517
Cloud_type_roll3h,274668230.0,22,0.0654063237749279
GHI_x_optical_depth_lag1h,264182840.0,21,0.06290945395767095
Snow_probability_roll6h,262692460.0,26,0.06255455205719386
ghi_clear_ratio_weighted_lag3h,259701520.0,30,0.06184232410847412
month_cos,255210320.0,18,0.06077284155005098
Cloud_type_lag2h,228638520.0,20,0.05444533962497348
Cloud_coverage_weighted_roll3h,226688370.0,26,0.05398095340051033
Cloud_optical_depth_weighted_roll3h,226062430.0,26,0.05383189926962786
GHI_x_cloud_coverage_lag3h,225170610.0,22,0.0536195315426834
GHI_weighted_lag2h,198783840.0,16,0.047336090527337164
Clear_sky_GHI_weighted_roll3h,196550680.0,17,0.04680431156622026
GHI_weighted_roll3h,191389690.0,17,0.04557533294375939
Snow_probability_weighted_roll3h,187020760.0,22,0.04453496635265421
Cloud_coverage_lag24h,184939690.0,20,0.04403940434965776
Cloud_optical_depth_weighted_lag1h,179513910.0,15,0.04274737169116089
Cloud_coverage_weighted_lag2h,175978290.0,17,0.04190543993055971
Cloud_type_lag1h,174450720.0,20,0.04154168203249896
GHI_x_optical_depth_lag2h,165681900.0,13,0.03945357639303689
Clear_sky_GHI_weighted_lag1h,159580180.0,12,0.03800058318044746
GHI_lag24h,158256120.0,6,0.03768528680613642
GHI_lag3h,149262570.0,8,0.03554366655691429
Cloud_coverage_roll6h,143327730.0,17,0.03413041222243085
Snow_probability,137128400.0,8,0.03265417529045068
Cloud_optical_depth_lag24h,127319570.0,12,0.030318413666934097
Cloud_optical_depth_weighted_lag2h,126999580.0,16,0.03024221493967416
GHI_roll6h,122958260.0,7,0.029279861614726125
Cloud_coverage_lag1h,121866930.0,9,0.02901998487788877
Snow_probability_weighted_lag1h,116570350.0,14,0.02775871841696678
Cloud_optical_depth,105404480.0,9,0.02509980694238978
Cloud_coverage_weighted_lag3h,103940210.0,12,0.024751122576113005
is_peak,102849250.0,14,0.024491333946807404
Cloud_coverage_roll3h,101549390.0,8,0.024181800281330046
daytime_any,94824500.0,2,0.022580412553703976
Cloud_optical_depth_weighted_lag3h,94140990.0,16,0.0224176493671374
Snow_probability_weighted_lag24h,84178690.0,15,0.02004534216821977
Snow_probability_roll3h,81693390.0,6,0.019453521496139024
Cloud_type_lag3h,72859840.0,10,0.017350001801189178
Cloud_optical_depth_roll3h,69931900.0,12,0.016652775945714147
GHI_lag2h,68092790.0,6,0.016214831505915968
Snow_probability_weighted_lag3h,63516190.0,6,0.01512501277664999
is_weekend,58080110.0,8,0.013830527394971847
GHI_roll3h,54051150.0,7,0.012871117337841347
GHI_lag1h,50319700.0,4,0.011982552880095523
Cloud_optical_depth_lag2h,49346040.0,3,0.011750696719640795
Clear_sky_GHI,41273100.0,3,0.009828299915847483
Snow_probability_weighted_lag2h,37853760.0,7,0.009014057733063685
Cloud_optical_depth_lag1h,34547650.0,4,0.00822677883628146
Cloud_coverage_lag2h,29774830.0,4,0.007090234539769804
Snow_probability_lag3h,25704970.0,2,0.00612108502845345
Cloud_optical_depth_lag3h,25370780.0,2,0.006041504877001848
Snow_probability_lag2h,15305860.0,2,0.003644760935087826
season,13251950.0,2,0.0031556665011790983
Snow_probability_lag1h,10893800.0,1,0.002594123863321614
Cloud_coverage_lag3h,8117770.0,1,0.0019330721028434797
is_holiday,5921160.0,1,0.0014099967370931547
Snow_probability_lag24h,0.0,0,0.0
Solar_capacity,0.0,0,0.0
