feature,gain,split,gain_pct
utc_time_day_fraction,1544164329580.0,495,51.485171096019755
is_weekend,227099812800.0,89,7.571909604376278
daylight_length_hr,151600200460.0,621,5.054618934888189
sunrise_day_fraction_utc,117888722384.0,328,3.930618604486398
month,105267570252.0,214,3.5098070596933284
day_hour_sin,88091503908.0,113,2.9371266153017963
day_hour_cos,81361967644.0,30,2.712751968567697
solar_flux_Wm2_rolling3h,81271450744.0,43,2.70973397495503
day_of_year_cos,75439188656.0,316,2.5152760369458145
sunset_day_fraction_utc,66511750648.0,261,2.2176194569521517
day_of_year,58133568128.0,262,1.9382760268178691
day_of_week_sin,49444806832.0,152,1.6485773507328518
day_of_year_sin,45065055940.0,279,1.5025487061689036
pressure_rolling3h,32618549036.0,203,1.0875601423063215
temp_max,28953888712.0,86,0.9653738826086549
pressure,23624982924.0,171,0.787698734313801
temp_min,19200073460.0,103,0.64016442305277
day_of_week,17515730032.0,115,0.5840054327731388
temp_max_rolling3h,16668406820.0,92,0.5557541775745974
temp,15973922616.0,57,0.532598845346357
solar_flux_Wm2,14434747320.0,60,0.4812800174578247
temp_min_rolling3h,13496832632.0,92,0.45000828215081623
day_of_week_cos,13469937380.0,72,0.4491115468588754
clouds_all_rolling3h,12017466952.0,99,0.4006836126908657
wind_deg_rolling3h,8445074712.0,93,0.2815737341790888
wind_speed_rolling3h,7639556796.0,80,0.2547163415222792
rain_1h_rolling3h,6604796060.0,61,0.2202155876090647
is_holiday,6520088464.0,36,0.217391286471129
wx_clouds,6207323828.0,46,0.2069631600801871
humidity_rolling3h,6194648684.0,68,0.20654054835097807
severity,6171946932.0,59,0.2057836317692971
rain_3h_rolling3h,6164483816.0,46,0.20553479827611962
wx_clear,6008328972.0,50,0.20032831946631638
wind_speed,5682010268.0,52,0.18944827646477844
clouds_all,5657997708.0,50,0.18864765522494595
temp_rolling3h,5458720624.0,49,0.1820034046301621
date_fraction_of_year,4714467104.0,26,0.15718867534131942
humidity,3632481604.0,31,0.12111336423368353
wind_deg,3093901836.0,22,0.10315616176943761
rain_3h,2450477872.0,27,0.08170326829220681
month_sin,2199026048.0,17,0.07331941954434235
wx_rain,1636451916.0,15,0.054562202527101165
snow_3h,1487967092.0,11,0.049611455755945215
month_cos,1293625588.0,11,0.04313176613170731
rain_1h,1065086004.0,10,0.0355118520078954
season,649886896.0,5,0.021668379066055694
snow_3h_rolling3h,623784896.0,7,0.020798092199428082
wx_fog,263216096.0,3,0.008776090392835533
wx_mist,61124400.0,1,0.0020379956536086467
wx_smoke,0.0,0,0.0
wx_squall,0.0,0,0.0
wx_snow,0.0,0,0.0
wx_drizzle,0.0,0,0.0
wx_haze,0.0,0,0.0
wx_dust,0.0,0,0.0
wx_thunderstorm,0.0,0,0.0
