feature,gain,split,gain_pct
total_load_actual,3646747.5581054688,48,25.222254977845292
month,2319575.6000976562,11,16.04304281935151
day_of_year_sin,1134527.4404296875,20,7.846811419199466
pressure_rolling3h,1000696.7182617188,26,6.921188643121349
wind_speed,831621.5795898438,48,5.751802446229776
daylight_length_hr,829179.6997070312,55,5.734913501753026
utc_time_day_fraction,731137.98828125,32,5.056820761675879
pressure,599059.8876953125,32,4.143319764722126
sunrise_day_fraction_utc,489630.83642578125,37,3.3864679703144804
wind_speed_rolling3h,402344.6193847656,32,2.782764207665284
is_weekend,370965.5876464844,22,2.5657352176268295
sunset_day_fraction_utc,217271.15185546875,16,1.5027276509031904
day_of_week_sin,211644.1396484375,17,1.4638091531492843
wind_deg_rolling3h,192452.201171875,17,1.3310706078943293
temp,152927.03173828125,11,1.0576999164460439
temp_min,138961.36767578125,10,0.961108218143159
day_hour_sin,105497.06005859375,16,0.7296566888203435
rain_3h,104966.85986328125,6,0.7259896281580962
day_of_week,100645.75,6,0.6961032340432312
wx_clouds,99357.7021484375,5,0.6871946186762127
severity,99068.6181640625,12,0.6851952069133361
rain_1h_rolling3h,75236.68017578125,9,0.520364708783407
wx_clear,54819.2001953125,5,0.37914986518179217
rain_3h_rolling3h,53853.9599609375,6,0.37247390669594366
temp_max,50477.40966796875,6,0.3491204359448671
solar_flux_Wm2_rolling3h,47210.02001953125,8,0.3265219605879174
wind_deg,45649.93017578125,6,0.3157318021795159
day_hour_cos,43846.349609375,3,0.30325757187040786
temp_max_rolling3h,41756.99072265625,6,0.28880679299378476
temp_min_rolling3h,40705.09912109375,5,0.2815315216016935
solar_flux_Wm2,39953.27001953125,6,0.2763315934472958
rain_1h,39167.03955078125,6,0.2708937327129856
day_of_year_cos,37042.4296875,3,0.2561991450437574
clouds_all,16056.330078125,3,0.11105151776650696
clouds_all_rolling3h,15896.77001953125,2,0.1099479413828918
humidity_rolling3h,15832.08984375,3,0.10950058936316107
day_of_year,13218.93017578125,3,0.09142701053897442
day_of_week_cos,11190.39013671875,2,0.0773968773085341
humidity,10790.0498046875,2,0.07462797549355539
temp_rolling3h,9791.9404296875,1,0.06772468187344359
wx_rain,6567.490234375,1,0.04542319165683375
date_fraction_of_year,6520.2900390625,1,0.04509673764755364
month_sin,4589.66015625,1,0.031743787272934886
wx_fog,0.0,0,0.0
wx_smoke,0.0,0,0.0
wx_snow,0.0,0,0.0
wx_squall,0.0,0,0.0
wx_mist,0.0,0,0.0
wx_haze,0.0,0,0.0
month_cos,0.0,0,0.0
wx_dust,0.0,0,0.0
wx_drizzle,0.0,0,0.0
snow_3h,0.0,0,0.0
snow_3h_rolling3h,0.0,0,0.0
is_holiday,0.0,0,0.0
season,0.0,0,0.0
wx_thunderstorm,0.0,0,0.0
