feature,gain,split,gain_pct
solar_flux_Wm2,995325691213.8047,2083,52.42378783005015
day_hour_cos,186258917003.59766,997,9.810254103401865
solar_flux_Wm2_rolling3h,162900728575.5,1359,8.579978702034891
utc_time_day_fraction,108308347078.40234,526,5.704598864053563
daylight_length_hr,65351575983.40234,3598,3.4420664350935115
humidity,36716601145.49902,1071,1.9338627800764245
day_of_year_sin,32813630570.898438,2341,1.728293383932064
sunrise_day_fraction_utc,30310432971.898438,1732,1.5964500074523162
day_of_year,26698851997.103516,1142,1.4062280967500993
sunset_day_fraction_utc,26202360534.99707,1695,1.3800778995848293
clouds_all_rolling3h,24595985086.20117,996,1.2954701310458896
day_of_year_cos,22601884509.5,948,1.1904408863799774
day_hour_sin,20453766535.804688,279,1.0772995479407084
temp_min,16715087858.800781,676,0.8803834033479092
clouds_all,14445246462.695312,736,0.7608308942469088
temp,10878183872.199219,660,0.5729537661154825
wx_clear,10388829941.799805,513,0.547179502628146
date_fraction_of_year,9732406493.0,433,0.5126056903470776
pressure_rolling3h,8219631971.59375,1035,0.4329278811184284
month,8056662491.0,551,0.42434428124872
humidity_rolling3h,7902978756.40625,755,0.4162497614685189
pressure,7741577643.18457,1109,0.4077487674825717
temp_min_rolling3h,7337853214.300781,402,0.386484608435495
temp_max,6922490557.09375,781,0.36460746409353323
day_of_week,6187076816.0,727,0.32587323441300886
severity,4942586133.0,459,0.2603259305525965
wind_deg_rolling3h,3843936191.7109375,667,0.20246005616589502
temp_rolling3h,3777058435.798828,279,0.19893760585899023
day_of_week_sin,3331910002.296875,505,0.17549164516814664
rain_1h_rolling3h,2998479658.0039062,360,0.1579298744034449
wind_deg,2938914429.0,480,0.15479257476884883
day_of_week_cos,2876184888.5,442,0.15148861089965726
wind_speed,2784012240.6992188,498,0.1466338790518845
wind_speed_rolling3h,2767311073.4023438,582,0.1457542288443049
month_sin,2339413973.0,187,0.12321689558484664
wx_clouds,2327898092.8945312,371,0.12261035436858489
temp_max_rolling3h,2163535778.9023438,359,0.11395339398662724
wx_rain,1323862006.6015625,173,0.0697277901725905
rain_1h,1289921962.4033203,145,0.06794016860138263
month_cos,1216509936.0,86,0.06407355837488642
rain_3h_rolling3h,924705568.6992188,148,0.0487042271355784
rain_3h,820906458.1015625,209,0.04323712968300139
season,683433600.0,44,0.035996436501739164
is_weekend,610572505.3007812,111,0.03215884383906114
snow_3h_rolling3h,451378696.0,35,0.02377410851442163
is_holiday,349901425.0,70,0.018429302315368382
wx_dust,285812650.0,44,0.015053747587357134
snow_3h,284206699.0,32,0.014969162174529312
wx_drizzle,120183550.0,21,0.006330065607146904
wx_fog,48757333.0,22,0.002568047929350637
wx_thunderstorm,23951040.0,6,0.0012615008839346133
wx_mist,10719210.0,4,0.0005645806148743748
wx_haze,5396570.0,2,0.0002842372533808559
wx_snow,3220040.0,1,0.00016959945398215744
wx_smoke,3123619.0,3,0.0001645209614937369
wx_squall,0.0,0,0.0
