feature,gain,split,gain_pct
daylight_length_hr,146111097352.0,392,15.376112479370827
day_of_year_sin,132031891880.0,307,13.89447658120144
wind_speed_rolling3h,109727012480.0,79,11.547205629789982
wind_speed,79337045272.0,81,8.349094312421228
pressure,52139967984.0,112,5.486989194676689
day_of_year,49214181072.0,121,5.179091783289769
sunset_day_fraction_utc,42579477512.0,106,4.480883707006058
pressure_rolling3h,40477417192.0,127,4.259671790152982
month,29282299088.0,96,3.081545020136027
day_of_year_cos,26183600392.0,88,2.7554511056225337
sunrise_day_fraction_utc,26000774344.0,82,2.736211267381949
day_of_week,22317801720.0,96,2.348630841586917
day_of_week_cos,20466360680.0,63,2.153793035315567
wind_deg_rolling3h,14593454032.0,48,1.5357532365797963
clouds_all_rolling3h,13081087416.0,62,1.3765981852585483
rain_1h_rolling3h,12222919920.0,42,1.2862882759924033
day_of_week_sin,9684261040.0,40,1.0191305775487727
season,9513039976.0,9,1.001111998627563
severity,8199207576.0,30,0.8628498465558867
date_fraction_of_year,7910580040.0,16,0.8324759082403868
humidity,7268264352.0,33,0.76488132819176
wx_rain,6769088568.0,22,0.7123501848298622
clouds_all,6652953000.0,31,0.7001285699848132
humidity_rolling3h,6528691000.0,33,0.6870517638863103
rain_1h,6408911632.0,21,0.6744466909763521
wind_deg,5607117168.0,22,0.590069240616781
wx_clouds,5374581976.0,27,0.5655982227926504
day_hour_cos,5054983968.0,15,0.5319650832963944
solar_flux_Wm2,4800733592.0,19,0.5052088515648638
wx_clear,4711072936.0,20,0.4957733442241115
snow_3h,4603162976.0,9,0.48441735749432124
temp_min,4202885008.0,16,0.44229380103266175
temp_max,3608233968.0,18,0.3797152464757331
temp_min_rolling3h,3445676656.0,17,0.36260840408692696
temp_max_rolling3h,3360618016.0,15,0.35365719340077706
is_weekend,2969413008.0,10,0.31248843678669347
temp_rolling3h,2813199016.0,13,0.2960491385035733
temp,2501180992.0,11,0.2632136843897975
month_sin,2482106024.0,7,0.261206315621621
snow_3h_rolling3h,2073867968.0,7,0.2182450732438889
month_cos,2016140064.0,4,0.2121700333517176
utc_time_day_fraction,1318379008.0,5,0.13874061782324879
is_holiday,1273675032.0,6,0.13403616090171103
rain_3h_rolling3h,1007405984.0,6,0.10601513507942467
day_hour_sin,831601984.0,3,0.08751426740192715
rain_3h,799374000.0,3,0.08412273098923742
wx_fog,587777016.0,3,0.06185516141208583
solar_flux_Wm2_rolling3h,102752000.0,1,0.010813184885430503
wx_squall,0.0,0,0.0
wx_snow,0.0,0,0.0
wx_smoke,0.0,0,0.0
wx_drizzle,0.0,0,0.0
wx_mist,0.0,0,0.0
wx_haze,0.0,0,0.0
wx_dust,0.0,0,0.0
wx_thunderstorm,0.0,0,0.0
