feature,gain,split,gain_pct
utc_time_day_fraction,1787333002824.0,374,42.51623971954542
solar_flux_Wm2_rolling3h,420806874144.0,86,10.009956683209431
daylight_length_hr,235698257676.0,610,5.606679678044739
is_weekend,229601051588.0,100,5.461642197481636
day_hour_cos,215510332012.0,88,5.126458764753907
month,149536930592.0,228,3.5571144145658393
day_hour_sin,117633645604.0,132,2.798214024852424
day_of_year_cos,110160628184.0,333,2.6204493891885314
sunrise_day_fraction_utc,109686525444.0,287,2.6091716554289666
day_of_week,97188025088.0,164,2.311863187207924
sunset_day_fraction_utc,96710056648.0,288,2.300493497988674
day_of_year,96401346920.0,285,2.2931500556762088
day_of_week_sin,63764243220.0,95,1.5167939303943319
day_of_year_sin,55239670308.0,239,1.3140153855676606
temp_max,55037253420.0,77,1.309200387511957
temp_min,45969383032.0,140,1.0934981369784347
pressure_rolling3h,32892399828.0,169,0.782428989913353
date_fraction_of_year,31943413992.0,89,0.7598549596514599
temp,29320822916.0,65,0.697469992386053
pressure,23580529112.0,128,0.560922573944232
solar_flux_Wm2,21293712944.0,56,0.5065248628072468
temp_min_rolling3h,17081374664.0,92,0.4063237341930884
is_holiday,15778463100.0,52,0.37533068460419394
day_of_week_cos,15775735296.0,58,0.3752657968812074
clouds_all_rolling3h,14890565312.0,92,0.35420978819517746
humidity_rolling3h,12203801764.0,43,0.29029831624450103
temp_rolling3h,10580217448.0,48,0.2516772535354903
temp_max_rolling3h,8567511180.0,43,0.2037999402200006
rain_1h_rolling3h,7624905012.0,48,0.18137766651023887
wx_clear,7346932384.0,44,0.17476538392560192
wind_speed_rolling3h,7254896588.0,53,0.17257607954900697
wind_deg_rolling3h,6620677604.0,52,0.15748957562622018
rain_3h_rolling3h,6582135056.0,44,0.15657274355990633
severity,6553127656.0,49,0.15588272912493972
wx_clouds,6515699940.0,33,0.15499241615970225
clouds_all,5877248612.0,37,0.13980523522161095
humidity,3940828696.0,27,0.09374258589086114
rain_3h,3934511804.0,30,0.09359232262479368
wx_rain,3781371200.0,18,0.08994948571629784
wind_speed,3603979288.0,27,0.08572977006007483
month_sin,3470160016.0,15,0.08254653994097694
wind_deg,2452871624.0,14,0.05834776049145883
rain_1h,2086160008.0,11,0.049624596453664155
snow_3h,1942573212.0,20,0.04620902105184934
month_cos,1534416592.0,10,0.03649998268484046
snow_3h_rolling3h,1091348512.0,9,0.025960486870912566
season,704951096.0,4,0.01676904624976794
wx_thunderstorm,400045692.0,6,0.009516099413466862
wx_fog,307933792.0,3,0.007324984710591076
wx_drizzle,70519600.0,1,0.0016774871911329511
wx_dust,0.0,0,0.0
wx_haze,0.0,0,0.0
wx_mist,0.0,0,0.0
wx_smoke,0.0,0,0.0
wx_snow,0.0,0,0.0
wx_squall,0.0,0,0.0
