feature,gain,split,gain_pct
total_load_actual,5066023.513999939,460,14.392256828731766
month,3070607.2378234863,1175,8.723403644849089
day_of_year_sin,2559526.240470886,734,7.27145440816359
sunset_day_fraction_utc,2006949.2869300842,504,5.701617748104712
utc_time_day_fraction,1988191.6037750244,236,5.648328340202529
wind_speed,1857460.9238071442,380,5.276930632258038
pressure_rolling3h,1678293.392238617,767,4.7679268499861776
wind_speed_rolling3h,1672743.9018096924,493,4.7521610938066114
day_of_year,1409619.2268066406,751,4.004640303554602
pressure,1287395.254119873,839,3.6574096204212436
is_weekend,1123033.122619629,71,3.1904670563111224
daylight_length_hr,877220.990234375,656,2.492130119830249
day_hour_sin,849091.0765686035,241,2.412214789605463
sunrise_day_fraction_utc,757797.1083984375,736,2.1528543201587538
day_of_week,730374.0798492432,632,2.07494720646081
temp_min_rolling3h,683460.1968574524,452,1.941667790961648
day_of_year_cos,591878.8245391846,525,1.6814908242559556
wind_deg_rolling3h,512479.19792193174,410,1.4559214372953637
day_hour_cos,476678.47442626953,147,1.354213814782345
temp_max,441346.9874267578,356,1.2538392638879932
temp_min,409393.49897766113,408,1.163061396185163
wx_clouds,407100.08895874023,285,1.1565459613644047
date_fraction_of_year,389880.85609436035,302,1.1076271947828769
rain_1h_rolling3h,383409.5127029419,432,1.089242511834046
temp_max_rolling3h,379532.9025192261,433,1.0782293040913795
solar_flux_Wm2_rolling3h,364522.16569519043,223,1.0355847370136704
day_of_week_sin,345776.26625061035,143,0.9823288058979941
wx_clear,283686.71154022217,326,0.8059362535728788
wind_deg,278212.1106185913,271,0.7903832538125772
clouds_all_rolling3h,276788.58324050903,379,0.7863391013187182
temp,237064.1367340088,171,0.6734844264596677
severity,216142.75457763672,300,0.6140480846475052
clouds_all,211026.3822746277,341,0.5995127900495187
solar_flux_Wm2,209859.04169750214,131,0.5961964482784704
humidity_rolling3h,197276.24298858643,270,0.5604495019521271
temp_rolling3h,189380.62426757812,194,0.5380185416258549
humidity,164545.14441299438,298,0.4674624923804887
wx_rain,126898.03971862793,137,0.3605094160431723
rain_1h,108583.10125732422,104,0.30847781820138154
season,90848.85528564453,18,0.2580959315040592
rain_3h_rolling3h,74498.93156433105,97,0.21164681797802984
month_sin,66336.54330444336,30,0.18845798203056802
day_of_week_cos,64106.58673095703,78,0.18212281449061443
month_cos,46668.42202758789,16,0.13258207620958468
wx_fog,17948.0170211792,15,0.05098919691576927
rain_3h,12571.735984802246,29,0.03571551781713368
wx_mist,7418.512008666992,19,0.021075529914282867
wx_snow,0.0,0,0.0
wx_squall,0.0,0,0.0
wx_smoke,0.0,0,0.0
is_holiday,0.0,0,0.0
wx_haze,0.0,0,0.0
wx_dust,0.0,0,0.0
wx_drizzle,0.0,0,0.0
snow_3h_rolling3h,0.0,0,0.0
snow_3h,0.0,0,0.0
wx_thunderstorm,0.0,0,0.0
