feature,gain,split,gain_pct
wind_speed_rolling3h,187917037028.0,108,17.4540418347068
day_of_year_sin,144648285852.0,176,13.43516943704924
daylight_length_hr,109356575576.0,125,10.157217648761554
wind_speed,91440159560.0,43,8.493111617626761
day_of_year,83124048768.0,94,7.7206976419636755
sunrise_day_fraction_utc,57841273468.0,88,5.37239210903885
pressure,49649314448.0,58,4.611509553073586
month,41670970848.0,76,3.8704679467964707
pressure_rolling3h,28468701996.0,62,2.6442196166808807
sunset_day_fraction_utc,27222009080.0,47,2.5284247390314722
day_of_year_cos,25624499676.0,62,2.380045452034738
wind_deg_rolling3h,22381981484.0,43,2.07887505754553
day_of_week,20052931024.0,45,1.8625490404536045
date_fraction_of_year,19742996912.0,27,1.833761853073438
day_of_week_sin,14919037912.0,26,1.3857046490724791
rain_1h,14654138920.0,22,1.3611003973161535
clouds_all_rolling3h,14498290424.0,42,1.346624934036819
solar_flux_Wm2,12947132032.0,17,1.202550804865708
wx_rain,10494713088.0,15,0.9747661211468737
rain_1h_rolling3h,10414527312.0,30,0.9673183350866672
temp_max,7778492432.0,11,0.7224791028332829
day_hour_cos,7723874296.0,22,0.717406081005381
humidity,6377330024.0,23,0.5923368460521347
snow_3h_rolling3h,6287381952.0,14,0.5839823219681619
month_sin,6284230016.0,6,0.5836895649958598
wx_clear,5846777936.0,12,0.5430583001262362
day_of_week_cos,5284787724.0,15,0.4908597298098994
humidity_rolling3h,4658845132.0,21,0.4327211578119547
severity,4445046528.0,13,0.4128631936941941
clouds_all,4414931968.0,13,0.41006610409344935
month_cos,4300795024.0,8,0.39946487800470065
snow_3h,4146723008.0,8,0.3851544170941185
rain_3h_rolling3h,3482848992.0,11,0.3234927123785834
wx_clouds,2574254960.0,8,0.239101012210759
temp_max_rolling3h,2568333992.0,8,0.2385510630161122
wind_deg,2303637264.0,9,0.2139655978710141
utc_time_day_fraction,1974437008.0,7,0.1833889395163805
temp,1764920952.0,4,0.16392874546318303
is_holiday,1505324960.0,2,0.13981704502265785
day_hour_sin,1500339968.0,1,0.13935403081016412
temp_min_rolling3h,1090583000.0,5,0.10129513325278634
temp_min,844113976.0,4,0.0784026870760495
is_weekend,628868992.0,1,0.05841038081758604
season,524134016.0,1,0.04868242489846078
solar_flux_Wm2_rolling3h,512790592.0,3,0.04762882911930151
temp_rolling3h,408994016.0,1,0.037988033327415
rain_3h,232873008.0,1,0.02162962596733782
wx_thunderstorm,104792000.0,1,0.009733252401537515
wx_drizzle,0.0,0,0.0
wx_dust,0.0,0,0.0
wx_fog,0.0,0,0.0
wx_haze,0.0,0,0.0
wx_mist,0.0,0,0.0
wx_smoke,0.0,0,0.0
wx_snow,0.0,0,0.0
wx_squall,0.0,0,0.0
